Title,Rating,Votes
12 Years a Slave,8.1,496092
127 Hours,7.6,297075
50/50,7.7,283935
About Time,7.8,225412
Amour,7.9,76121
Argo,7.7,48684
Arrival,8.0,370842
Beasts of No Nation,7.8,51781
Before Midnight,7.9,106553
Big Hero 6,7.8,315485
Birdman or,7.8,448725
Black Swan,8.0,587893
Boyhood,7.9,290327
Bridge of Spies,7.6,223756
Captain America: Civil War,7.9,431555
Captain America: The Winter Soldier,7.8,552706
Captain Fantastic,7.9,115194
Captain Phillips,7.8,350818
Creed,7.6,179795
Dallas Buyers Club,8.0,357641
Dawn of the Planet of the Apes,7.6,349646
Deadpool,8.0,652127
Despicable Me,7.7,417592
Detachment,7.7,62352
Disconnect,7.6,65448
Django Unchained,8.4,1056822
Doctor Strange,7.6,328932
Drive,7.8,467642
Edge of Tomorrow,7.9,480513
End of Watch,7.7,194675
Ex Machina,7.7,34855
Flipped,7.7,66461
Fury,7.6,337571
Gone Girl,8.1,649474
Gravity,7.8,63089
Guardians of the Galaxy,8.1,77822
Hacksaw Ridge,8.2,244314
Harry Potter and the Deathly Hallows: Part 1,7.7,363226
Hell or High Water,7.7,125026
Her,8.0,398431
Hidden Figures,7.8,111357
How to Train Your Dragon 2,7.9,240983
How to Train Your Dragon,8.1,532296
Hugo,7.5,261953
Hunt for the Wilderpeople,7.9,56964
I Daniel Blake,7.9,2835
Inception,8.8,1609713
Inside Out,8.2,430229
Interstellar,8.6,1075163
Kick-Ass,7.7,46186
Kingsman: The Secret Service,7.7,4505
Kubo and the Two Strings,7.8,78588
La La Land,8.2,29033
Les Miserables,7.6,260178
Lion,8.1,123032
Lone Survivor,7.5,222343
Mad Max: Fury Road,8.1,64954
Manchester by the Sea,7.9,150266
Me and Earl and the Dying Girl,7.8,94563
Midnight in Paris,7.7,324479
Moana,7.7,14246
Moneyball,7.6,300199
Moonrise Kingdom,7.8,258231
Nebraska,7.7,97059
Nightcrawler,7.9,340717
Philomena,7.6,81855
Pride,7.8,40577
Prisoners,8.1,441037
Rise of the Planet of the Apes,7.6,434037
Rogue One,7.9,34921
Rush,8.1,345486
Scott Pilgrim vs. the World,7.5,297633
Short Term 12,8.0,63459
Shutter Island,8.1,871391
Sicario,7.6,250849
Silver Linings Playbook,7.8,570344
Sing Street,8.0,56066
Skyfall,7.8,552367
Spotlight,8.1,279211
Star Trek Into Darkness,7.8,421473
Star Wars: The Force Awakens,8.1,676732
Straight Outta Compton,7.9,144011
Tangled,7.8,321593
The Artist,7.9,201344
The Avengers,8.1,1056773
The Big Short,7.8,254317
The Book Thief,7.6,10788
The Dark Knight Rises,8.4,1240780
The Fault in Our Stars,7.8,276272
The Fighter,7.8,292823
The Girl with the Dragon Tattoo,7.8,352566
The Grand Budapest Hotel,8.1,541526
The Help,8.1,347299
The Hobbit: An Unexpected Journey,7.9,675678
The Hobbit: The Desolation of Smaug,7.9,520084
The Hunger Games: Catching Fire,7.6,531466
The Imitation Game,8.1,540489
The King's Speech,8.0,54024
The Lego Movie,7.8,271515
The Little Prince,7.8,40777
The Martian,8.0,569347
The Perks of Being a Wallflower,8.0,382665
The Revenant,8.0,512526
The Social Network,7.7,516417
The Theory of Everything,7.7,305145
The Town,7.6,297426
The Wolf of Wall Street,8.2,881984
Toy Story 3,8.3,596385
True Grit,7.6,25767
Tucker and Dale vs Evil,7.6,138624
Tyrannosaur,7.6,26016
Warrior,8.2,361049
What We Do in the Shadows,7.6,87975
Whiplash,8.5,492285
Wreck-It Ralph,7.7,295125
X-Men: Days of Future Past,8.0,560736
X-Men: First Class,7.8,556713
Zootopia,8.1,309474
